"","UCM_Number","Canister","Class","Order","Family","Subfamily","Genus","Species","Element","Notes","Museum_Number","name"
"40","NSF-16-341","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28653","Microtus"
"41","NSF-16-342","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28654","Microtus"
"42","NSF-16-343","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","sp.","lower right m2","small accessory anterior triangle present, occlusal surf. Poorly preserved","LACMP23-28655","Microtus"
"43","NSF-16-344","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","Neotoma","sp.","lower left m2?","poorly preserved, anterior broken","LACMP23-28656","Neotoma"
"44","NSF-16-345","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper right M1 frag","","LACMP23-28657","Peromyscus"
"45","NSF-16-346","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","","","molar frag","","LACMP23-28658",NA
"46","NSF-16-347","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m3","","LACMP23-28659","Sylvilagus"
"47","NSF-16-348","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m4","","LACMP23-28660","Sylvilagus"
"48","NSF-16-349","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. audubonii","lower left p3","enamel band not well preserved","LACMP23-28661","Sylvilagus audobonii"
"49","NSF-16-350","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","dentary frag with tooth","","LACMP23-28662","Sylvilagus"
"50","NSF-16-351","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right anterior dentary frag","","LACMP23-28663","Sylvilagus"
"51","NSF-16-352","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28664","Sylvilagus"
"52","NSF-16-353","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28665","Sylvilagus"
"53","NSF-16-354","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28666","Sylvilagus"
"54","NSF-16-355","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv lower tooth","","LACMP23-28667","Sylvilagus"
"55","NSF-16-356","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv lower tooth","","LACMP23-28668","Sylvilagus"
"56","NSF-16-357","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28669","Sylvilagus"
"57","NSF-16-358","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28670","Sylvilagus"
"58","NSF-16-359","A1/L6","Mammalia","Rodentia","Leporidae","","Sylvilagus","sp.","upper M3","","LACMP23-28671","Sylvilagus"
"59","NSF-16-360","A1/L6","Mammalia","Carnivora","cf. Mustelidae","","Taxidea","taxus","incisor frag","","LACMP23-28672","Taxidea taxus"
"60","NSF-16-361","A1/L7","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","upper right M1","triangles much more splayed and gracile than typical","LACMP23-28673","Microtus"
"61","NSF-16-362","A1/L7","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","right dentary w/ m2","m2 moderately worn","LACMP23-28674","Peromyscus"
"62","NSF-16-363","A1/L7","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower right m2","moderately worn, possibly asscoiated w/ NSF-16-362","LACMP23-28675","Peromyscus"
"63","NSF-16-364","A1/L7","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28676","Otospermophilus beecheyi"
"64","NSF-16-365","A1/L7","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower left p4/m1","poorly preserved","LACMP23-28677","Otospermophilus"
"65","NSF-16-366","A1/L7","Mammalia","Carnivora","Mephitidae","","Mephitis","mephitis","lower right m2","","LACMP23-28678","Mephitis mephitis"
"66","NSF-16-367","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28679","Sylvilagus"
"67","NSF-16-368","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28680","Sylvilagus"
"68","NSF-16-369","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28681","Sylvilagus"
"69","NSF-16-370","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28682","Sylvilagus"
"70","NSF-16-371","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28683","Sylvilagus"
"71","NSF-16-417","A1/L9+10","Mammalia","Rodentia","Cricetidae","Neotominae","","","anterior dentary frag","","LACMP23-29227",NA
"72","NSF-16-418","A1/L9+10","Mammalia","Rodentia","cf. Heteromyidae","","","","tooth ","","LACMP23-29228",NA
"73","NSF-16-419","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower left p3","","LACMP23-29229","Sylvilagus audobonii"
"74","NSF-16-420","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. lower left tooth","","LACMP23-29230","Sylvilagus"
"75","NSF-16-421","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-29231",NA
"76","NSF-16-422","A1/L9+10","Mammalia","Rodentia","","","","","lower inciosr","","LACMP23-29232",NA
"77","NSF-16-04","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","left maxilla and P4","","LACMP23-28073","Otospermophilus beecheyi"
"78","NSF-16-05A","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28080","Sylvilagus"
"79","NSF-16-05B","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28081","Sylvilagus"
"80","NSF-16-06","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28079","Otospermophilus beecheyi"
"81","NSF-16-07","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","bachmani","lower right p3","","LACMP23-28082","Sylvilagus bachmani"
"82","NSF-16-08","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right m1 ","","LACMP23-28083","Otospermophilus beecheyi"
"83","NSF-16-09","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower left p3","","LACMP23-28084","Sylvilagus audobonii"
"84","NSF-16-10","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right m1","","LACMP23-28085","Otospermophilus beecheyi"
"85","NSF-16-11","A2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper incisor","","LACMP23-28086","Sylvilagus"
"86","NSF-16-12","A2/L2","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors","","LACMP23-28087; LACMP23-28088; LACMP23-28089; LACMP23-28090; LACMP23-28091; LACMP23-28092",NA
"87","NSF-16-13","A2/L2","Mammalia","Rodentia/Lagomorpha","","","","","incisor","","LACMP23-28093",NA
"88","NSF-16-63","A2/L3","Mammalia","Carnivora","Mustelidae","","Mustela","frenata","dentary with m1 and p3","missing coronoid process; p3 found in mesh 16; p2 alveolus absent","LACMP23-28152","Mustela frenata"
"89","NSF-16-64","A2/L3","Mammalia","Carnivora","Canidae","","Canis","latrans","upper right P1","","LACMP23-28153","Canis latrans"
"90","NSF-16-65","A2/L3","Aves","","","","","","beak","","LACMP23-28177",NA
"91","NSF-16-66","A2/L3","Mammalia","Carnivora","Canidae","","Canis","latrans","upper partial incisor","","LACMP23-28154","Canis latrans"
"92","NSF-16-67","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","complete left dentary w/o teeth","","LACMP23-28155","Peromyscus"
"93","NSF-16-68","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M1","","LACMP23-28156","Microtus"
"94","NSF-16-69","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28157","Microtus"
"95","NSF-16-70","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28158","Microtus"
"96","NSF-16-71","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28159","Microtus"
"97","NSF-16-72","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","","LACMP23-28160","Microtus"
"98","NSF-16-73","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M3","","LACMP23-28161","Otospermophilus beecheyi"
"99","NSF-16-74","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M2","","LACMP23-28162","Otospermophilus beecheyi"
"100","NSF-16-75","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M1/M2","","LACMP23-28163","Otospermophilus beecheyi"
"101","NSF-16-76","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M1/M2","","LACMP23-28164","Otospermophilus beecheyi"
"102","NSF-16-77","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right p4","","LACMP23-28165","Otospermophilus beecheyi"
"103","NSF-16-78","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28166","Sylvilagus"
"104","NSF-16-79","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28167","Sylvilagus"
"105","NSF-16-80","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28168","Sylvilagus"
"106","NSF-16-81","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28169","Sylvilagus"
"107","NSF-16-82","A2/L3","Mammalia","Lagomorpha/Rodentia","","","","","misc. incisors and crania/dentary frags","","LACMP23-28170; LACMP23-28171; LACMP23-28172; LACMP23-28173; LACMP23-28174; LACMP23-28175",NA
"108","NSF-16-83","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv tooth frag","","LACMP23-28176","Sylvilagus"
"109","NSF-16-84","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28178","Microtus"
"110","NSF-16-85","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28179","Microtus"
"111","NSF-16-86","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower left m1","","LACMP23-28180","Peromyscus"
"112","NSF-16-87","A2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth frag","","LACMP23-28181","Sylvilagus"
"113","NSF-16-88","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper left M2 ","worn/etched","LACMP23-28182","Peromyscus"
"114","NSF-16-89","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","lower right M1/M2","","LACMP23-28183","Thomomys"
"115","NSF-16-90","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","","LACMP23-28184","Microtus"
"116","NSF-16-91","A2/L3","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","","lower molar fragment","","LACMP23-28185","Otospermophilus"
"117","NSF-16-92","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper left M1","","LACMP23-28186","Peromyscus"
"118","NSF-16-93","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. bachmanii","juv. Lower right p3","","LACMP23-28187","Sylvilagus bachmani"
"119","NSF-16-94","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28188","Microtus"
"120","NSF-16-95","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","lower left m2","","LACMP23-28189","Reithrodontomys megalotis"
"121","NSF-16-96","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Reithrodontomys","","lower m1","","LACMP23-28190","Reithrodontomys"
"122","NSF-16-97","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","","LACMP23-28191","Microtus"
"123","NSF-16-98","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","partial molar","","LACMP23-28192","Microtus"
"124","NSF-16-99","A2/L3","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower molar fragment","","LACMP23-28193","Otospermophilus"
"125","NSF-16-100","A2/L3","Mammalia","??","","","","","partial tooth","","LACMP23-28194",NA
"126","NSF-16-101","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28195","Microtus"
"127","NSF-16-102","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower molar fragment","anterior broken","LACMP23-28196","Microtus"
"128","NSF-16-103","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juvenile lower tooth fragment","","LACMP23-28197","Sylvilagus"
"129","NSF-16-104","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","lower right M1/M2","","LACMP23-28198","Thomomys"
"130","NSF-16-105","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","partial upper molar ","","LACMP23-28224","Microtus"
"131","NSF-16-106","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial lower right m1","posterior broken","LACMP23-28199","Microtus"
"132","NSF-16-107","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","upper right M1","","LACMP23-28200","Reithrodontomys megalotis"
"133","NSF-16-108","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","cf. bottae","upper left P4","","LACMP23-28201","Thomomys bottae"
"134","NSF-16-109","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left P2","","LACMP23-28202","Sylvilagus"
"135","NSF-16-110","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar fragment","both ends broken","LACMP23-28203","Microtus"
"136","NSF-16-111","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","lower left m2","","LACMP23-28204","Reithrodontomys megalotis"
"137","NSF-16-112","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Onychomys","torridus","upper right M1","","LACMP23-28205","Onychomys torridus"
"138","NSF-16-113","A2/L3","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors, denary frags, and tooth frags","","LACMP23-28206; LACMP23-28207; LACMP23-28208; LACMP23-28209; LACMP23-28210: LACMP23-28211; LACMP23-28212; LACMP23-28213; LACMP23-28214; LACMP23-28215; LACMP23-28216; LACMP23-28217; LACMP23-28218; LACMP23-28219; LACMP23-28220; LACMP23-28221; LACMP23-28222; LACMP23-28223; ",NA
"139","NSF-16-146","A2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","Neotoma","","lower right m2","","LACMP23-28267","Neotoma"
"140","NSF-16-147","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28268","Microtus"
"141","NSF-16-148","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","","LACMP23-28269","Microtus"
"142","NSF-16-149","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28270","Microtus"
"143","NSF-16-150","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M1","","LACMP23-28271","Microtus"
"144","NSF-16-151","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M2","anterior loop broken","LACMP23-28272","Microtus"
"145","NSF-16-152","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m3","","LACMP23-28273","Sylvilagus"
"146","NSF-16-153","A2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower left molar","","LACMP23-28274","Otospermophilus beecheyi"
"147","NSF-16-154","A2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","juv. lower right m1/m2","","LACMP23-28275","Otospermophilus beecheyi"
"148","NSF-16-155","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","","upper left P2","","LACMP23-28276","Sylvilagus"
"149","NSF-16-156","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","","upper right P2","","LACMP23-28277","Sylvilagus"
"150","NSF-16-157","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","","upper tooth","","LACMP23-28278","Sylvilagus"
"151","NSF-16-158a","A2/L4","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28279",NA
"152","NSF-16-158b","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28280","Sylvilagus"
"153","NSF-16-158c","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth frag","","LACMP23-28281","Sylvilagus"
"154","NSF-16-158d","A2/L4","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28282",NA
"155","NSF-16-158e","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28283","Sylvilagus"
"156","NSF-16-159","A2/L4","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors","","LACMP23-28284; LACMP23-28285; LACMP23-28286; LACMP23-28287; LACMP23-28288; LACMP23-28289; LACMP23-28290",NA
"157","NSF-16-160","A2/L4","Mammalia","Rodentia/Lagomorpha","","","","","misc. skull and dentary frags","","",NA
"158","NSF-16-161","A2/L4","Mammalia","Carnivora","","","","","premolar cusp frag","","LACMP23-28291",NA
"159","NSF-16-162","A2/L4","Mammalia","","","","","","baculum?","","LACMP23-28292",NA
"160","NSF-16-163","A2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper right M1","","LACMP23-28293","Peromyscus"
"161","NSF-16-164","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","molar fragment","","LACMP23-28294","Microtus"
"162","NSF-16-165","A2/L4","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","partial upper left M1-M2","","LACMP23-28295","Otospermophilus"
"163","NSF-16-166","A2/L4","Mammalia","cf. Rodentia","","","","","tooth frag ","strange looking","LACMP23-28296",NA
"164","NSF-16-167","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","partial upper tooth","","LACMP23-28297","Sylvilagus"
"165","NSF-16-168","A2/L4","Mammalia","Carnivora","","","","","incisor","","LACMP23-28298",NA
"166","NSF-16-169","A2/L4","Mammalia","Carnivora","","","","","incisor","","LACMP23-28299",NA
"167","NSF-16-170","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","left upper M3","","LACMP23-28300","Microtus"
"168","NSF-16-171","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower molar fragment","","LACMP23-28301","Microtus"
"169","NSF-16-172","A2/L4","Mammalia","Rodentia","Heteromyidae","","Perognathus","sp.","upper left M1/M2","","LACMP23-28302","Perognathus"
"170","NSF-16-173","A2/L4","Mammalia","","","","","","partial tooth incisor","","LACMP23-28303",NA
"171","NSF-16-174","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M1","","LACMP23-28204","Microtus"
"172","NSF-16-175","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M2","","LACMP23-28305","Microtus"
"173","NSF-16-176","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right M3","","LACMP23-28306","Microtus"
"174","NSF-16-177","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left M3","","LACMP23-28307","Microtus"
"175","NSF-16-178","A2/L4","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","lower left m1/m2","","LACMP23-28308","Thomomys"
"176","NSF-16-179","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right M2","","LACMP23-28309","Microtus"
"177","NSF-16-180","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right M2","anterior broken","LACMP23-28310","Microtus"
"178","NSF-16-181","A2/L4","Mammalia","Rodentia","Sciuridae","","","","lower molar fragment","","LACMP23-28311",NA
