"","UCM_Number","Canister","Class","Order","Family","Subfamily","Genus","Species","Element","Notes","Museum_Number","name"
"1","NSF-16-01A1","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28065",NA
"2","NSF-16-01A2","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28066",NA
"3","NSF-16-01A3","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28067",NA
"4","NSF-16-01A4","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28068",NA
"5","NSF-16-01A5","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28069",NA
"6","NSF-16-01B","A1/L1","Mammalia","Carnivora","Canidae","","Canis","dirus","Juv. anterior dentary fragment w/ partially erupted premolar","","LACMP23-28346","Canis dirus"
"7","NSF-16-01C","A1/L1","Mammalia","Carnivora","cf. Mephitidae","","Mephitis","mephitis","lower left p4","","LACMP23-28070","Mephitis mephitis"
"8","NSF-16-01D","A1/L1","Mammalia","Rodentia/Lagomorpha","","","","","2 incisors","","LACMP23-28071; LACMP23-28072",NA
"9","NSF-16-02A","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28074 ",NA
"10","NSF-16-02B","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28075",NA
"11","NSF-16-02C","A1/L1","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","partial upper tooth","","LACMP23-28076",NA
"12","NSF-16-03","A1/L1","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus sp.","","right upper M1 (2 fragments)","","LACMP23-28077; LACMP23-28078",NA
"13","NSF-16-58","A1/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","posterior loop broken","LACMP23-28147",NA
"14","NSF-16-59","A1/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M1/M2","","LACMP23-28148",NA
"15","NSF-16-60","A1/L3","Mammalia","Lagomorpha/Rodentia","","","","","incisor","","LACMP23-28149",NA
"16","NSF-16-61","A1/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28150",NA
"17","NSF-16-62","A1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower left m2","","LACMP23-28151",NA
"18","NSF-16-141","A1/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28261",NA
"19","NSF-16-142","A1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower left tooth","","LACMP23-28262",NA
"20","NSF-16-143","A1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28263",NA
"21","NSF-16-144","A1/L4","Mammalia","Carnivora","cf. Mustelidae","","Taxidea","taxus","incisor frag","","LACMP23-28264","Taxidea taxus"
"22","NSF-16-145a","A1/L4","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28265",NA
"23","NSF-16-145b","A1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. audubonii","partial lower left p3","","LACMP23-28266",NA
"24","NSF-16-288","A1/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28561",NA
"25","NSF-16-289","A1/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right maxillary frag (lingual side)","","LACMP23-28562",NA
"26","NSF-16-290","A1/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. upper right P2","","LACMP23-28563",NA
"27","NSF-16-327","A1/L6","Mammalia","Rodentia","Sciuridae","","Neotamias","cf. merriami","lower left dp4","","LACMP23-28640",NA
"28","NSF-16-328","A1/L6","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","upper left P4","large, unusualy elongte lingual lobe, looks more like O. varigatus","LACMP23-28641",NA
"29","NSF-16-329","A1/L6","Mammalia","Rodentia","Sciuridae","","cf. Neotamias","","maxillary frag","","LACMP23-28642",NA
"30","NSF-16-330","A1/L6","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right p4","","LACMP23-28643",NA
"31","NSF-16-331","A1/L6","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower left p4","heavily weathered, acid etching?","LACMP23-28644",NA
"32","NSF-16-332","A1/L6","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","partial upper left M1/M2","","LACMP23-28645",NA
"33","NSF-16-334","A1/L6","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","upper left P4","heavily weathered, acid etching?","LACMP23-28646",NA
"34","NSF-16-335","A1/L6","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower left m3 frag","","LACMP23-28647",NA
"35","NSF-16-336","A1/L6","Mammalia","Rodentia","cf. Sciuridae","","","","tooth frag","","LACMP23-28648",NA
"36","NSF-16-337","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m1","occlusal surface of anterior loop broken","LACMP23-28649",NA
"37","NSF-16-338","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M3","","LACMP23-28650",NA
"38","NSF-16-339","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M3","","LACMP23-28651",NA
"39","NSF-16-340","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower left m2","","LACMP23-28652",NA
"40","NSF-16-341","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28653",NA
"41","NSF-16-342","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28654",NA
"42","NSF-16-343","A1/L6","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","sp.","lower right m2","small accessory anterior triangle present, occlusal surf. Poorly preserved","LACMP23-28655",NA
"43","NSF-16-344","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","Neotoma","sp.","lower left m2?","poorly preserved, anterior broken","LACMP23-28656",NA
"44","NSF-16-345","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper right M1 frag","","LACMP23-28657",NA
"45","NSF-16-346","A1/L6","Mammalia","Rodentia","Cricetidae","Neotominae","","","molar frag","","LACMP23-28658",NA
"46","NSF-16-347","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m3","","LACMP23-28659",NA
"47","NSF-16-348","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m4","","LACMP23-28660",NA
"48","NSF-16-349","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. audubonii","lower left p3","enamel band not well preserved","LACMP23-28661",NA
"49","NSF-16-350","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","dentary frag with tooth","","LACMP23-28662",NA
"50","NSF-16-351","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right anterior dentary frag","","LACMP23-28663",NA
"51","NSF-16-352","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28664",NA
"52","NSF-16-353","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28665",NA
"53","NSF-16-354","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28666",NA
"54","NSF-16-355","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv lower tooth","","LACMP23-28667",NA
"55","NSF-16-356","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv lower tooth","","LACMP23-28668",NA
"56","NSF-16-357","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28669",NA
"57","NSF-16-358","A1/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28670",NA
"58","NSF-16-359","A1/L6","Mammalia","Rodentia","Leporidae","","Sylvilagus","sp.","upper M3","","LACMP23-28671",NA
"59","NSF-16-360","A1/L6","Mammalia","Carnivora","cf. Mustelidae","","Taxidea","taxus","incisor frag","","LACMP23-28672","Taxidea taxus"
"60","NSF-16-361","A1/L7","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","upper right M1","triangles much more splayed and gracile than typical","LACMP23-28673",NA
"61","NSF-16-362","A1/L7","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","right dentary w/ m2","m2 moderately worn","LACMP23-28674",NA
"62","NSF-16-363","A1/L7","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower right m2","moderately worn, possibly asscoiated w/ NSF-16-362","LACMP23-28675",NA
"63","NSF-16-364","A1/L7","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28676",NA
"64","NSF-16-365","A1/L7","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower left p4/m1","poorly preserved","LACMP23-28677",NA
"65","NSF-16-366","A1/L7","Mammalia","Carnivora","Mephitidae","","Mephitis","mephitis","lower right m2","","LACMP23-28678","Mephitis mephitis"
"66","NSF-16-367","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28679",NA
"67","NSF-16-368","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28680",NA
"68","NSF-16-369","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28681",NA
"69","NSF-16-370","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28682",NA
"70","NSF-16-371","A1/L7","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28683",NA
"71","NSF-16-417","A1/L9+10","Mammalia","Rodentia","Cricetidae","Neotominae","","","anterior dentary frag","","LACMP23-29227",NA
"72","NSF-16-418","A1/L9+10","Mammalia","Rodentia","cf. Heteromyidae","","","","tooth ","","LACMP23-29228",NA
"73","NSF-16-419","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower left p3","","LACMP23-29229","Sylvilagus audubonii"
"74","NSF-16-420","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. lower left tooth","","LACMP23-29230",NA
"75","NSF-16-421","A1/L9+10","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-29231",NA
"76","NSF-16-422","A1/L9+10","Mammalia","Rodentia","","","","","lower inciosr","","LACMP23-29232",NA
"77","NSF-16-04","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","left maxilla and P4","","LACMP23-28073",NA
"78","NSF-16-05A","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28080",NA
"79","NSF-16-05B","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28081",NA
"80","NSF-16-06","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28079",NA
"81","NSF-16-07","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","bachmani","lower right p3","","LACMP23-28082","Sylvilagus bachmani"
"82","NSF-16-08","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right m1 ","","LACMP23-28083",NA
"83","NSF-16-09","A2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower left p3","","LACMP23-28084","Sylvilagus audubonii"
"84","NSF-16-10","A2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right m1","","LACMP23-28085",NA
"85","NSF-16-11","A2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper incisor","","LACMP23-28086",NA
"86","NSF-16-12","A2/L2","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors","","LACMP23-28087; LACMP23-28088; LACMP23-28089; LACMP23-28090; LACMP23-28091; LACMP23-28092",NA
"87","NSF-16-13","A2/L2","Mammalia","Rodentia/Lagomorpha","","","","","incisor","","LACMP23-28093",NA
"88","NSF-16-63","A2/L3","Mammalia","Carnivora","Mustelidae","","Mustela","frenata","dentary with m1 and p3","missing coronoid process; p3 found in mesh 16; p2 alveolus absent","LACMP23-28152","Mustela frenata"
"89","NSF-16-64","A2/L3","Mammalia","Carnivora","Canidae","","Canis","latrans","upper right P1","","LACMP23-28153","Canis latrans"
"90","NSF-16-65","A2/L3","Aves","","","","","","beak","","LACMP23-28177",NA
"91","NSF-16-66","A2/L3","Mammalia","Carnivora","Canidae","","Canis","latrans","upper partial incisor","","LACMP23-28154","Canis latrans"
"92","NSF-16-67","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","complete left dentary w/o teeth","","LACMP23-28155",NA
"93","NSF-16-68","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M1","","LACMP23-28156",NA
"94","NSF-16-69","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28157",NA
"95","NSF-16-70","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28158",NA
"96","NSF-16-71","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28159",NA
"97","NSF-16-72","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","","LACMP23-28160",NA
"98","NSF-16-73","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M3","","LACMP23-28161",NA
"99","NSF-16-74","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M2","","LACMP23-28162",NA
"100","NSF-16-75","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M1/M2","","LACMP23-28163",NA
"101","NSF-16-76","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M1/M2","","LACMP23-28164",NA
"102","NSF-16-77","A2/L3","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right p4","","LACMP23-28165",NA
"103","NSF-16-78","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28166",NA
"104","NSF-16-79","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28167",NA
"105","NSF-16-80","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28168",NA
"106","NSF-16-81","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28169",NA
"107","NSF-16-82","A2/L3","Mammalia","Lagomorpha/Rodentia","","","","","misc. incisors and crania/dentary frags","","LACMP23-28170; LACMP23-28171; LACMP23-28172; LACMP23-28173; LACMP23-28174; LACMP23-28175",NA
"108","NSF-16-83","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv tooth frag","","LACMP23-28176",NA
"109","NSF-16-84","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28178",NA
"110","NSF-16-85","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28179",NA
"111","NSF-16-86","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower left m1","","LACMP23-28180",NA
"112","NSF-16-87","A2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth frag","","LACMP23-28181",NA
"113","NSF-16-88","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper left M2 ","worn/etched","LACMP23-28182",NA
"114","NSF-16-89","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","lower right M1/M2","","LACMP23-28183",NA
"115","NSF-16-90","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","","LACMP23-28184",NA
"116","NSF-16-91","A2/L3","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","","lower molar fragment","","LACMP23-28185",NA
"117","NSF-16-92","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","upper left M1","","LACMP23-28186",NA
"118","NSF-16-93","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. bachmanii","juv. Lower right p3","","LACMP23-28187",NA
"119","NSF-16-94","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28188",NA
"120","NSF-16-95","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","lower left m2","","LACMP23-28189",NA
"121","NSF-16-96","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Reithrodontomys","","lower m1","","LACMP23-28190",NA
"122","NSF-16-97","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","","LACMP23-28191",NA
"123","NSF-16-98","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","partial molar","","LACMP23-28192",NA
"124","NSF-16-99","A2/L3","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower molar fragment","","LACMP23-28193",NA
"125","NSF-16-100","A2/L3","Mammalia","??","","","","","partial tooth","","LACMP23-28194",NA
"126","NSF-16-101","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28195",NA
"127","NSF-16-102","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower molar fragment","anterior broken","LACMP23-28196",NA
"128","NSF-16-103","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juvenile lower tooth fragment","","LACMP23-28197",NA
"129","NSF-16-104","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","lower right M1/M2","","LACMP23-28198",NA
"130","NSF-16-105","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","partial upper molar ","","LACMP23-28224",NA
"131","NSF-16-106","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial lower right m1","posterior broken","LACMP23-28199",NA
"132","NSF-16-107","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","upper right M1","","LACMP23-28200",NA
"133","NSF-16-108","A2/L3","Mammalia","Rodentia","Geomyidae","","Thomomys","cf. bottae","upper left P4","","LACMP23-28201",NA
"134","NSF-16-109","A2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left P2","","LACMP23-28202",NA
"135","NSF-16-110","A2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar fragment","both ends broken","LACMP23-28203",NA
"136","NSF-16-111","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","lower left m2","","LACMP23-28204",NA
"137","NSF-16-112","A2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Onychomys","torridus","upper right M1","","LACMP23-28205",NA
"138","NSF-16-113","A2/L3","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors, denary frags, and tooth frags","","LACMP23-28206; LACMP23-28207; LACMP23-28208; LACMP23-28209; LACMP23-28210: LACMP23-28211; LACMP23-28212; LACMP23-28213; LACMP23-28214; LACMP23-28215; LACMP23-28216; LACMP23-28217; LACMP23-28218; LACMP23-28219; LACMP23-28220; LACMP23-28221; LACMP23-28222; LACMP23-28223; ",NA
